,img_path,label,writer_id
0,./../BHSig260/Bengali/058/B-S-58-F-25.tif,0,58
1,./../BHSig260/Bengali/058/B-S-58-G-20.tif,1,58
2,./../BHSig260/Bengali/058/B-S-58-G-23.tif,1,58
3,./../BHSig260/Bengali/058/B-S-58-G-24.tif,1,58
4,./../BHSig260/Bengali/058/B-S-58-F-02.tif,0,58
5,./../BHSig260/Bengali/058/B-S-58-G-21.tif,1,58
6,./../BHSig260/Bengali/058/B-S-58-G-09.tif,1,58
7,./../BHSig260/Bengali/058/B-S-58-F-17.tif,0,58
8,./../BHSig260/Bengali/058/B-S-58-F-14.tif,0,58
9,./../BHSig260/Bengali/058/B-S-58-G-14.tif,1,58
10,./../BHSig260/Bengali/058/B-S-58-F-27.tif,0,58
11,./../BHSig260/Bengali/058/B-S-58-G-19.tif,1,58
12,./../BHSig260/Bengali/058/B-S-58-G-07.tif,1,58
13,./../BHSig260/Bengali/058/B-S-58-F-12.tif,0,58
14,./../BHSig260/Bengali/058/B-S-58-F-06.tif,0,58
15,./../BHSig260/Bengali/058/B-S-58-G-12.tif,1,58
16,./../BHSig260/Bengali/058/B-S-58-F-23.tif,0,58
17,./../BHSig260/Bengali/058/B-S-58-F-24.tif,0,58
18,./../BHSig260/Bengali/058/B-S-58-F-04.tif,0,58
19,./../BHSig260/Bengali/058/B-S-58-F-13.tif,0,58
20,./../BHSig260/Bengali/058/B-S-58-F-30.tif,0,58
21,./../BHSig260/Bengali/058/B-S-58-G-11.tif,1,58
22,./../BHSig260/Bengali/058/B-S-58-F-22.tif,0,58
23,./../BHSig260/Bengali/058/B-S-58-G-06.tif,1,58
24,./../BHSig260/Bengali/058/B-S-58-F-18.tif,0,58
25,./../BHSig260/Bengali/058/B-S-58-F-15.tif,0,58
26,./../BHSig260/Bengali/058/B-S-58-F-26.tif,0,58
27,./../BHSig260/Bengali/058/B-S-58-G-13.tif,1,58
28,./../BHSig260/Bengali/058/B-S-58-F-09.tif,0,58
29,./../BHSig260/Bengali/058/B-S-58-G-18.tif,1,58
30,./../BHSig260/Bengali/058/B-S-58-G-01.tif,1,58
31,./../BHSig260/Bengali/058/B-S-58-F-05.tif,0,58
32,./../BHSig260/Bengali/058/B-S-58-G-22.tif,1,58
33,./../BHSig260/Bengali/058/B-S-58-F-10.tif,0,58
34,./../BHSig260/Bengali/058/B-S-58-F-20.tif,0,58
35,./../BHSig260/Bengali/058/B-S-58-G-08.tif,1,58
36,./../BHSig260/Bengali/058/B-S-58-F-11.tif,0,58
37,./../BHSig260/Bengali/058/B-S-58-G-03.tif,1,58
38,./../BHSig260/Bengali/058/B-S-58-G-02.tif,1,58
39,./../BHSig260/Bengali/058/B-S-58-G-10.tif,1,58
40,./../BHSig260/Bengali/058/B-S-58-G-15.tif,1,58
41,./../BHSig260/Bengali/058/B-S-58-F-21.tif,0,58
42,./../BHSig260/Bengali/058/B-S-58-G-04.tif,1,58
43,./../BHSig260/Bengali/058/B-S-58-F-19.tif,0,58
44,./../BHSig260/Bengali/058/B-S-58-G-17.tif,1,58
45,./../BHSig260/Bengali/058/B-S-58-F-16.tif,0,58
46,./../BHSig260/Bengali/058/B-S-58-F-28.tif,0,58
47,./../BHSig260/Bengali/058/B-S-58-F-03.tif,0,58
48,./../BHSig260/Bengali/058/B-S-58-G-16.tif,1,58
49,./../BHSig260/Bengali/058/B-S-58-F-07.tif,0,58
50,./../BHSig260/Bengali/058/B-S-58-F-08.tif,0,58
51,./../BHSig260/Bengali/058/B-S-58-F-01.tif,0,58
52,./../BHSig260/Bengali/058/B-S-58-G-05.tif,1,58
53,./../BHSig260/Bengali/058/B-S-58-F-29.tif,0,58
54,./../BHSig260/Bengali/082/B-S-82-F-13.tif,0,82
55,./../BHSig260/Bengali/082/B-S-82-F-26.tif,0,82
56,./../BHSig260/Bengali/082/B-S-82-F-21.tif,0,82
57,./../BHSig260/Bengali/082/B-S-82-F-01.tif,0,82
58,./../BHSig260/Bengali/082/B-S-82-G-09.tif,1,82
59,./../BHSig260/Bengali/082/B-S-82-F-27.tif,0,82
60,./../BHSig260/Bengali/082/B-S-82-F-09.tif,0,82
61,./../BHSig260/Bengali/082/B-S-82-F-22.tif,0,82
62,./../BHSig260/Bengali/082/B-S-82-G-05.tif,1,82
63,./../BHSig260/Bengali/082/B-S-82-G-03.tif,1,82
64,./../BHSig260/Bengali/082/B-S-82-F-18.tif,0,82
65,./../BHSig260/Bengali/082/B-S-82-G-07.tif,1,82
66,./../BHSig260/Bengali/082/B-S-82-F-03.tif,0,82
67,./../BHSig260/Bengali/082/B-S-82-G-11.tif,1,82
68,./../BHSig260/Bengali/082/B-S-82-F-30.tif,0,82
69,./../BHSig260/Bengali/082/B-S-82-G-19.tif,1,82
70,./../BHSig260/Bengali/082/B-S-82-F-11.tif,0,82
71,./../BHSig260/Bengali/082/B-S-82-G-23.tif,1,82
72,./../BHSig260/Bengali/082/B-S-82-G-15.tif,1,82
73,./../BHSig260/Bengali/082/B-S-82-F-07.tif,0,82
74,./../BHSig260/Bengali/082/B-S-82-G-22.tif,1,82
75,./../BHSig260/Bengali/082/B-S-82-F-16.tif,0,82
76,./../BHSig260/Bengali/082/B-S-82-F-15.tif,0,82
77,./../BHSig260/Bengali/082/B-S-82-G-01.tif,1,82
78,./../BHSig260/Bengali/082/B-S-82-F-25.tif,0,82
79,./../BHSig260/Bengali/082/B-S-82-G-12.tif,1,82
80,./../BHSig260/Bengali/082/B-S-82-F-28.tif,0,82
81,./../BHSig260/Bengali/082/B-S-82-F-06.tif,0,82
82,./../BHSig260/Bengali/082/B-S-82-F-20.tif,0,82
83,./../BHSig260/Bengali/082/B-S-82-F-29.tif,0,82
84,./../BHSig260/Bengali/082/B-S-82-G-10.tif,1,82
85,./../BHSig260/Bengali/082/B-S-82-F-17.tif,0,82
86,./../BHSig260/Bengali/082/B-S-82-G-18.tif,1,82
87,./../BHSig260/Bengali/082/B-S-82-F-05.tif,0,82
88,./../BHSig260/Bengali/082/B-S-82-F-19.tif,0,82
89,./../BHSig260/Bengali/082/B-S-82-G-08.tif,1,82
90,./../BHSig260/Bengali/082/B-S-82-F-02.tif,0,82
91,./../BHSig260/Bengali/082/B-S-82-F-12.tif,0,82
92,./../BHSig260/Bengali/082/B-S-82-F-08.tif,0,82
93,./../BHSig260/Bengali/082/B-S-82-F-23.tif,0,82
94,./../BHSig260/Bengali/082/B-S-82-G-16.tif,1,82
95,./../BHSig260/Bengali/082/B-S-82-G-02.tif,1,82
96,./../BHSig260/Bengali/082/B-S-82-G-20.tif,1,82
